IPSOS,2022,Philippe Poutou < Nathalie Arthaud < Jean-Luc Mélenchon < Fabien Roussel < Yannick Jadot < Anne Hidalgo < Emmanuel Macron < Valérie Pecresse < Jean Lassalle < Nicolas Dupont-Aignan < Marine Le Pen < Eric Zemmour
Cluster17,2022,Nathalie Arthaud < Philippe Poutou < Fabien Roussel < Jean-Luc Mélenchon <  Yannick Jadot < Anne Hidalgo < Emmanuel Macron < Jean Lassalle < Valérie Pecresse <  Nicolas Dupont-Aignan < Marine Le Pen < Eric Zemmour
Harris Interactive,2022,Nathalie Arthaud < Philippe Poutou < Fabien Roussel < Jean-Luc Mélenchon < Anne Hidalgo < Yannick Jadot <  Emmanuel Macron < Valérie Pecresse < Nicolas Dupont-Aignan < Marine Le Pen < Eric Zemmour < Jean Lassalle
IFOP,2022,Nathalie Arthaud < Philippe Poutou < Fabien Roussel < Jean-Luc Mélenchon < Anne Hidalgo < Yannick Jadot <  Emmanuel Macron < Valérie Pecresse < Nicolas Dupont-Aignan < Marine Le Pen < Eric Zemmour < Jean Lassalle
Opinionway,2022,Nathalie Arthaud < Philippe Poutou < Fabien Roussel < Jean-Luc Mélenchon < Anne Hidalgo < Yannick Jadot <  Emmanuel Macron < Valérie Pecresse < Jean Lassalle < Nicolas Dupont-Aignan < Eric Zemmour  < Marine Le Pen
Elabe,2022,Philippe Poutou < Nathalie Arthaud < Fabien Roussel < Jean-Luc Mélenchon < Anne Hidalgo < Yannick Jadot <  Emmanuel Macron < Valérie Pecresse  < Nicolas Dupont-Aignan < Marine Le Pen < Eric Zemmour  <  Jean Lassalle
BVA,2022,Nathalie Arthaud < Philippe Poutou <  Jean-Luc Mélenchon < Fabien Roussel < Anne Hidalgo < Yannick Jadot <  Emmanuel Macron < Valérie Pecresse < Nicolas Dupont-Aignan < Eric Zemmour  < Marine Le Pen < Jean Lassalle
Odoxa,2022,Nathalie Arthaud < Philippe Poutou < Fabien Roussel < Jean-Luc Mélenchon < Yannick Jadot  <  Anne Hidalgo < Emmanuel Macron < Jean Lassalle   < Valérie Pecresse < Nicolas Dupont-Aignan  < Marine Le Pen < Eric Zemmour
IFOP,2017,Nathalie Arthaud < Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < Jean Lassalle < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen < François Asselineau < Jacques Cheminade 
BVA,2017,Nathalie Arthaud < Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron  < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen < François Asselineau < Jacques Cheminade < Jean Lassalle
Elabe,2017,Philippe Poutou < Nathalie Arthaud <  Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron  < Jean Lassalle < François Fillon < François Asselineau < Nicolas Dupont-Aignan < Marine Le Pen  < Jacques Cheminade
IPSOS,2017,Nathalie Arthaud < Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < Jean Lassalle < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen  < Jacques Cheminade < François Asselineau
Opinionway,2017,Nathalie Arthaud < Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen  < François Asselineau < Jacques Cheminade  < Jean Lassalle
Harris Interactive,2017,Nathalie Arthaud < Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron  < Jean Lassalle < François Fillon < Nicolas Dupont-Aignan < Jacques Cheminade    < François Asselineau < Marine Le Pen
Odoxa,2017,Nathalie Arthaud < Philippe Poutou < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron  < Jean Lassalle < François Fillon < Nicolas Dupont-Aignan < François Asselineau < Jacques Cheminade < Marine Le Pen
